,FID_1,LandArea,Buiheight,BldArea,CoverRatio,FAR,GreenArea,GrHeight,GreenRatio,GrVolRatio,MIN_DistWB,MIN_DistGL,MIN_DistMT,ImpSurf,ISF,elev_mean,elev_std,elev_range,slope_mean,slope_std,slope_rang,index_righ,K_5,K_12,K_20,K_26,Place,Place ID,Sum ID
0%,0.0,860557.572301,0.00014750000264,1.0,1.162037302e-06,1.9561e-10,295.486627331296,0.01,0.000343366483296,6.36310321e-06,0.0,0.0,0.0,68.6054339189055,7.9722073336e-05,-1.499018907546997,0.133347347378731,1.687810182571411,2.520221710205078,0.000499936577398,0.004623413085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,69.0,860557.572408,0.2152424663305282,37008.4,0.0430051412927972,0.0032537755514500007,213292.1611827122,0.5867167205810551,0.247853447582868,0.161177804121201,0.0,0.0,0.0,50341.139918239984,0.0584982824189625,2.0501831769943233,2.6682451963424683,14.438788414001465,88.20204544067383,0.015046332962811,0.22597122192382801,14250.5,0.0,1.0,2.0,3.0,18.0,69.0,14250.5
20%,149.0,860557.572445,0.4138949513435365,63692.8,0.07401340947762061,0.0102291585086526,307863.862454111,0.8839798889160159,0.3577492922147602,0.3325965164311334,0.0,0.0,0.0,95784.20791927187,0.111304822577371,3.30415940284729,4.029035091400146,19.715639114379883,89.7845230102539,0.021030372008681,0.334342956542969,28501.0,1.0,2.0,4.0,5.0,43.0,149.0,28503.0
30%,281.0,860557.572465,0.6680246472358706,87017.0,0.101116999903606,0.022306029220603006,389323.56782380893,1.2392565612792967,0.45240850844965835,0.5761648598214396,264.007568359375,0.0,638.9053344726562,140769.31641940243,0.16357919670760754,6.0938560962677,6.736316919326785,27.672817230224613,89.94218444824219,0.027705130167305504,0.461273193359375,42751.50000000001,1.0,3.0,6.0,8.0,60.0,281.0,42753.50000000001
40%,488.0,860557.572493,0.9398259878158569,109178.20000000001,0.1268691409816196,0.0394856953720196,464826.5778193158,1.7516174621582037,0.5401458225446351,0.9487940332883167,615.5485229492188,0.0,1576.864013671875,188885.26317779877,0.219491721519497,11.172513961791992,11.8297119140625,39.04507827758789,89.96342468261719,0.035871762782335,0.626365661621094,57002.0,2.0,4.0,8.0,11.0,97.0,488.0,57004.0
50%,769.0,860557.572529,1.2374685406684875,131419.0,0.152713780224805,0.062730639382078,536884.389102738,2.476956024169922,0.623879687125344,1.513455750728095,1011.3851928710938,0.0,2920.0,242792.5348616992,0.2821339822508385,17.9961576461792,18.559178352355957,57.19076156616211,89.97212982177734,0.047281291335821,0.8670082092285161,71252.5,2.0,5.0,9.0,13.0,114.0,769.0,71254.5
60%,1192.0,860557.572567,1.574280285835268,155270.80000000002,0.18043046155496323,0.09396246281927306,601763.6080116184,3.3844816894531258,0.6992717596336334,2.2790433365471703,1483.9473876953125,0.0,4945.347363281251,305810.62139348674,0.355363349478661,32.80925369262696,33.336746215820355,94.29554748535156,89.97760772705078,0.06710246950388002,1.3047409057617207,85503.00000000001,2.0,6.0,11.0,15.0,143.0,1192.0,85506.00000000001
70%,1902.0,860557.572613,1.957930326461792,181884.0,0.2113559926689606,0.13753068619113934,659541.7182671102,4.483957275390624,0.7664120790422007,3.2309986938876234,2072.341552734375,0.0,8110.04453125,380001.4739222743,0.4415758875716535,60.84597969055176,56.20953178405762,144.83807373046875,89.98210144042969,0.1201731115579605,2.594139099121094,99753.5,3.0,7.0,13.0,18.0,162.0,1902.0,99756.5
80%,2986.0,860557.572644,2.533018493652343,215304.0,0.2501912793255302,0.20693446090919346,713009.5973635267,5.812336059570313,0.8285437489735648,4.443782399628494,2892.075439453125,0.0,13652.27050781251,473637.1791258869,0.550384069881429,100.53706359863281,92.27162170410156,210.75877380371094,89.98587036132812,3.968656063079834,89.9963150024414,114004.0,3.0,8.0,15.0,21.0,186.0,2986.0,114008.0
90%,4816.0,860557.572796,3.801845717430114,262597.80000000005,0.3051484390361348,0.37703929528106583,765775.6335988558,7.579746093749999,0.8898598514742996,6.119849545550017,4239.93505859375,27.276782035827637,23316.60078125001,598925.3377200899,0.6959735836766975,145.59857940673828,133.04403686523438,294.449951171875,89.98929595947266,12.462568759918213,89.9979019165039,128254.5,4.0,10.0,17.0,23.0,211.0,4816.0,128258.5
100%,11529.0,860557.573124,16.496742248535156,605091.0,0.703138313177579,3.566849319957733,886973.1875982137,18.891710205078127,1.030695930324639,18.92179888618964,24994.048828125,4318.6630859375,88584.1875,858552.368164252,0.997669877640289,595.4471435546875,490.2173156738281,1161.9705810546875,89.9989013671875,44.99799346923828,89.99979400634766,142505.0,4.0,11.0,19.0,25.0,244.0,11529.0,142511.0
